show_title,season_title,category,max_weeks,best_rank,entry_rank,tmdb_id,tmdb_rating,tmdb_vote_count,tmdb_popularity,genres,original_language,runtime_minutes,days_since_release,is_korean,is_sequel,budget_usd,avg_cast_popularity,first_week,is_breakout,lang_label
Squid Game,Squid Game: Season 1,TV,19,4,7,93405.0,7.858,17159.0,61.7353,Action & Adventure|Mystery|Drama,ko,,1199.0,1,0,,3.45,2024-12-29,1,Korean
Squid Game,Squid Game: Season 2,TV,9,1,7,93405.0,7.858,17159.0,61.7353,Action & Adventure|Mystery|Drama,ko,,1199.0,1,1,,3.45,2024-12-29,1,Korean
Squid Game,Squid Game: Season 3,TV,6,1,10,93405.0,7.858,17159.0,61.7353,Action & Adventure|Mystery|Drama,ko,,1381.0,1,1,,3.45,2025-06-29,1,Korean
Squid Game: The Challenge,Squid Game: The Challenge: Season 1,TV,1,4,4,204082.0,6.465,615.0,7.2025,Reality,en,,4.0,0,0,,0.0,2023-11-26,0,English
Stellar,,Films,2,3,3,1389625.0,0.0,0.0,2.1997,Drama,sr,16.0,192.0,0,0,0.0,1.04,2025-04-20,0,Other
Stoker,,Films,1,9,9,86825.0,6.64,2363.0,2.3119,Drama|Horror|Thriller,en,99.0,4595.0,0,0,12000000.0,3.95,2025-09-28,0,English
Stolen,,Films,1,9,9,127493.0,5.484,1095.0,1.9041,Action|Crime|Thriller,en,96.0,4245.0,0,0,35000000.0,4.35,2024-04-21,0,English
Stranger Things,Stranger Things 5,TV,3,8,9,66732.0,8.579,20658.0,231.5885,Sci-Fi & Fantasy|Mystery|Action & Adventure,en,,3425.0,0,0,,10.32,2025-11-30,0,English
Streaming,,Films,5,2,4,618918.0,0.0,0.0,0.1866,Music,ja,79.0,8128.0,0,0,0.0,0.89,2025-06-29,1,Japanese
Street Kings,,Films,1,5,5,1266.0,6.64,1628.0,4.8308,Action|Crime|Drama|Thriller,en,109.0,5617.0,0,0,20000000.0,5.73,2023-08-27,0,English
Strong Girl Bong-soon,Strong Girl Bong-soon: Season 1,TV,2,8,10,68814.0,8.066,296.0,8.4908,Comedy|Action & Adventure|Drama,ko,68.0,2431.0,1,0,,2.18,2023-10-22,0,Korean
Strong Girl Nam-soon,Strong Girl Nam-soon: Limited Series,TV,9,1,10,203164.0,7.632,140.0,7.2057,Comedy|Drama|Sci-Fi & Fantasy|Crime,ko,60.0,1.0,1,0,,1.98,2023-10-08,1,Korean
Summer Strike,Summer Strike: Limited Series,TV,1,8,8,197078.0,7.7,49.0,3.1887,Drama,ko,52.0,104.0,1,0,,1.58,2023-03-05,0,Korean
Supacell,Supacell: Season 1,TV,2,6,10,158141.0,7.378,241.0,4.7525,Action & Adventure|Sci-Fi & Fantasy|Drama,en,,10.0,0,0,,1.38,2024-07-07,0,English
Super Rich in Korea,Super Rich in Korea: Season 1,TV,1,5,5,245754.0,5.5,3.0,1.5142,Reality,ko,,5.0,1,0,,1.11,2024-05-12,0,Korean
Svaha: The Sixth Finger,,Films,4,6,10,556509.0,6.794,204.0,1.9366,Horror|Mystery|Thriller|Crime,ko,122.0,1838.0,1,0,0.0,2.3,2024-03-03,1,Korean
Sweet Home,Sweet Home: Season 1,TV,4,7,8,96648.0,8.235,1535.0,19.955,Sci-Fi & Fantasy|Action & Adventure,ko,,1087.0,1,0,,2.96,2023-12-10,1,Korean
Sweet Home,Sweet Home: Season 2,TV,7,1,5,96648.0,8.235,1535.0,19.955,Sci-Fi & Fantasy|Action & Adventure,ko,,1080.0,1,1,,2.96,2023-12-03,1,Korean
Sweet Home,Sweet Home: Season 3,TV,5,1,7,96648.0,8.235,1535.0,19.955,Sci-Fi & Fantasy|Action & Adventure,ko,,1311.0,1,1,,2.96,2024-07-21,1,Korean
Switch,,Films,6,2,8,10261.0,5.882,251.0,1.372,Fantasy|Comedy,en,104.0,11657.0,0,0,0.0,2.99,2023-04-09,1,English
