country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Japan,JP,2025-11-09,TV,10,"Backstabbed in a Backwater Dungeon: My Trusted Companions Tried to Kill Me, but Thanks to the Gift of an Unlimited Gacha I Got LVL 9999 Friends and Am Out for Revenge on My Former Party Members and the World","Backstabbed in a Backwater Dungeon: My Trusted Companions Tried to Kill Me, but Thanks to the Gift of an Unlimited Gacha I Got LVL 9999 Friends and Am Out for Revenge on My Former Party Members and the World: Season 1",4
Japan,JP,2025-11-02,Films,1,A HOUSE OF DYNAMITE,,2
Japan,JP,2025-11-02,Films,2,OVERLORD:The Sacred Kingdom,,1
Japan,JP,2025-11-02,Films,3,The Elixir,,2
Japan,JP,2025-11-02,Films,4,KPop Demon Hunters,,19
Japan,JP,2025-11-02,Films,5,All About Suomi,,3
Japan,JP,2025-11-02,Films,6,Don't Say a Word,,2
Japan,JP,2025-11-02,Films,7,Good News,,3
Japan,JP,2025-11-02,Films,8,Ballad of a Small Player,,1
Japan,JP,2025-11-02,Films,9,The Woman in Cabin 10,,4
Japan,JP,2025-11-02,Films,10,Chainsaw Man – The Compilation,,8
Japan,JP,2025-11-02,TV,1,Just a Bit Espers,Just a Bit Espers: Season 1,2
Japan,JP,2025-11-02,TV,2,One-Punch Man,One-Punch Man: Season 3,2
Japan,JP,2025-11-02,TV,3,Campfire Cooking in Another World with My Absurd Skill,Campfire Cooking in Another World with My Absurd Skill: Season 2,2
Japan,JP,2025-11-02,TV,4,Romantics Anonymous,Romantics Anonymous: Season 1,3
Japan,JP,2025-11-02,TV,5,SPY x FAMILY,SPY x FAMILY: Season 3,4
Japan,JP,2025-11-02,TV,6,"Backstabbed in a Backwater Dungeon: My Trusted Companions Tried to Kill Me, but Thanks to the Gift of an Unlimited Gacha I Got LVL 9999 Friends and Am Out for Revenge on My Former Party Members and the World","Backstabbed in a Backwater Dungeon: My Trusted Companions Tried to Kill Me, but Thanks to the Gift of an Unlimited Gacha I Got LVL 9999 Friends and Am Out for Revenge on My Former Party Members and the World: Season 1",3
Japan,JP,2025-11-02,TV,7,Kingdom,Kingdom: Series 6,4
Japan,JP,2025-11-02,TV,8,Passing the Reins,Passing the Reins: Season 1,3
Japan,JP,2025-11-02,TV,9,My Hero Academia,My Hero Academia: Final Season,4
Japan,JP,2025-11-02,TV,10,Kyojo,,1
Japan,JP,2025-10-26,Films,1,All About Suomi,,2
