tmdb_id,tmdb_type,tmdb_title,genres,runtime_minutes,release_date,tmdb_rating,tmdb_vote_count,tmdb_popularity,original_language,production_countries,budget_usd,revenue_usd,top_cast,avg_cast_popularity,director,num_seasons,num_episodes,status,show_title
1241983.0,movie,Train Dreams,Drama,102.0,2025-11-05,7.338,705.0,11.8389,en,US,10000000.0,0.0,William H. Macy|Kerry Condon|Felicity Jones|Paul Schneider|Ron Ford,3.3,Clint Bentley,,,Released,Train Dreams
783516.0,movie,Good News,Music,79.0,2000-01-01,0.0,0.0,0.0454,en,US,0.0,0.0,David Phelps|Mark Lowry|George Younce|Jessy Dixon|Stephen Hill,2.36,,,,Released,Good News
271885.0,tv,As You Stood By,Crime|Drama|Mystery,62.0,2025-11-07,8.041,73.0,6.4602,ko,KR,,,Jang Seung-jo|Lee You-mi|Lee Mu-saeng|Jeon So-nee,1.31,Lee Jeong-lim,1.0,8.0,Ended,As You Stood By
291805.0,movie,Now You See Me 2,Thriller|Crime,129.0,2016-06-02,6.829,11380.0,11.714,en,HK|US,120000000.0,334897606.0,Morgan Freeman|Woody Harrelson|Daniel Radcliffe|Mark Ruffalo|Michael Caine,6.52,Jon M. Chu,,,Released,Now You See Me 2
1117857.0,movie,In Your Dreams,Animation|Family|Comedy|Adventure|Fantasy,87.0,2025-11-07,6.883,183.0,4.5905,en,US,0.0,0.0,Simu Liu|Cristin Milioti|Tara Strong|Bob Bergen|Craig Robinson,2.93,Alex Woo,,,Released,In Your Dreams
1290159.0,movie,A House of Dynamite,Thriller,112.0,2025-10-02,6.401,1108.0,5.4019,en,US,0.0,181125.0,Rebecca Ferguson|Idris Elba|Brian Tee|Willa Fitzgerald|Jason Clarke,4.7,Kathryn Bigelow,,,Released,A HOUSE OF DYNAMITE
293613.0,tv,Physical: Asia,Reality,,2025-10-28,7.403,36.0,7.3002,ko,KR,,,,0.0,Jang Ho-gi,1.0,30.0,Returning Series,Physical: Asia
252193.0,tv,Last Samurai Standing,Action & Adventure|Drama,,2025-11-13,7.8,180.0,14.4273,ja,JP,,,Riho Yoshioka|Hiroshi Abe|Shota Sometani|Hideaki Ito|Kaya Kiyohara,2.14,,2.0,6.0,Returning Series,Last Samurai Standing
302173.0,tv,My Grumpy Secretary,Reality|Comedy|Talk,,2025-10-03,9.0,1.0,2.6733,ko,KR,,,Kim Kwang-kyu|Lee Seo-jin,1.52,,1.0,16.0,Returning Series,My Grumpy Secretary
1645.0,movie,A Time to Kill,Crime|Drama|Thriller,149.0,1996-07-24,7.385,2863.0,4.8987,en,US,40000000.0,152266007.0,Sandra Bullock|Samuel L. Jackson|Matthew McConaughey|Brenda Fricker|Kiefer Sutherland,5.27,Joel Schumacher,,,Released,A Time to Kill
1136867.0,movie,Materialists,Romance|Drama,116.0,2025-06-12,6.414,1031.0,6.8728,en,US|FI,20000000.0,106436908.0,Pedro Pascal|Dakota Johnson|Chris Evans|Marin Ireland|Dasha Nekrasova,7.27,Celine Song,,,Released,Materialists
1498658.0,movie,Mantis,,10.0,2025-09-19,0.0,0.0,2.1778,it,,0.0,0.0,Salvatore Torrisi|Alessandro Calì Ventura|Angelo Thomann|Paolo Gallina|Marco Antonini,0.07,Paolo Gallina,,,Released,Mantis
